Sport,Date,Time,School,Weekday,Time_dt,EventDate,season_start,season_end,start_min,end_min_raw,end_min
Golf,2024-08-05,TBD,Riverbend High School,Monday,,2024-08-05,2024-07-29,2024-10-15,,,
Golf,2024-08-07,TBD,Riverbend High School,Wednesday,,2024-08-07,2024-07-29,2024-10-15,,,
Golf,2024-08-14,4:00pm,Riverbend High School,Wednesday,16:00:00,2024-08-14,2024-07-29,2024-10-15,960.0,,1140.0
Field Hockey,2024-08-14,5:00pm,Riverbend High School,Wednesday,17:00:00,2024-08-14,2024-08-04,2024-11-10,1020.0,,1200.0
Golf,2024-08-15,4:00pm,Riverbend High School,Thursday,16:00:00,2024-08-15,2024-07-29,2024-10-15,960.0,,1140.0
Football,2024-08-15,6:00pm,Riverbend High School,Thursday,18:00:00,2024-08-15,2024-07-31,2024-12-15,1080.0,,1260.0
Field Hockey,2024-08-20,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-08-20,2024-08-04,2024-11-10,1020.0,,1200.0
Football,2024-08-20,6:00pm,Riverbend High School,Tuesday,18:00:00,2024-08-20,2024-07-31,2024-12-15,1080.0,,1260.0
Golf,2024-08-21,4:00pm,Riverbend High School,Wednesday,16:00:00,2024-08-21,2024-07-29,2024-10-15,960.0,,1140.0
Golf,2024-08-22,4:00pm,Riverbend High School,Thursday,16:00:00,2024-08-22,2024-07-29,2024-10-15,960.0,,1140.0
Football,2024-08-23,6:00pm,Riverbend High School,Friday,18:00:00,2024-08-23,2024-07-31,2024-12-15,1080.0,,1260.0
Volleyball,2024-08-26,5:00pm,Riverbend High School,Monday,17:00:00,2024-08-26,2024-08-04,2024-11-30,1020.0,,1200.0
Field Hockey,2024-08-26,5:30pm,Riverbend High School,Monday,17:30:00,2024-08-26,2024-08-04,2024-11-10,1050.0,,1230.0
Field Hockey,2024-08-29,5:00pm,Riverbend High School,Thursday,17:00:00,2024-08-29,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-08-29,5:00pm,Riverbend High School,Thursday,17:00:00,2024-08-29,2024-08-04,2024-11-30,1020.0,,1200.0
Football,2024-08-30,7:00pm,Riverbend High School,Friday,19:00:00,2024-08-30,2024-07-31,2024-12-15,1140.0,,1320.0
Football,2024-09-03,5:30pm,Riverbend High School,Tuesday,17:30:00,2024-09-03,2024-07-31,2024-12-15,1050.0,,1230.0
Field Hockey,2024-09-04,5:30pm,Riverbend High School,Wednesday,17:30:00,2024-09-04,2024-08-04,2024-11-10,1050.0,,1230.0
Volleyball,2024-09-04,5:30pm,Riverbend High School,Wednesday,17:30:00,2024-09-04,2024-08-04,2024-11-30,1050.0,,1230.0
Golf,2024-09-05,4:00pm,Riverbend High School,Thursday,16:00:00,2024-09-05,2024-07-29,2024-10-15,960.0,,1140.0
Field Hockey,2024-09-05,5:00pm,Riverbend High School,Thursday,17:00:00,2024-09-05,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-09-05,5:00pm,Riverbend High School,Thursday,17:00:00,2024-09-05,2024-08-04,2024-11-30,1020.0,,1200.0
Football,2024-09-06,7:00pm,Riverbend High School,Friday,19:00:00,2024-09-06,2024-07-31,2024-12-15,1140.0,,1320.0
Volleyball,2024-09-07,TBD,Riverbend High School,Saturday,,2024-09-07,2024-08-04,2024-11-30,,,
Field Hockey,2024-09-09,5:30pm,Riverbend High School,Monday,17:30:00,2024-09-09,2024-08-04,2024-11-10,1050.0,,1230.0
Football,2024-09-09,6:00pm,Riverbend High School,Monday,18:00:00,2024-09-09,2024-07-31,2024-12-15,1080.0,,1260.0
Volleyball,2024-09-10,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-09-10,2024-08-04,2024-11-30,1020.0,,1200.0
Field Hockey,2024-09-10,6:30pm,Riverbend High School,Tuesday,18:30:00,2024-09-10,2024-08-04,2024-11-10,1110.0,,1290.0
Golf,2024-09-11,3:15pm,Riverbend High School,Wednesday,15:15:00,2024-09-11,2024-07-29,2024-10-15,915.0,,1095.0
Field Hockey,2024-09-12,5:00pm,Riverbend High School,Thursday,17:00:00,2024-09-12,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-09-12,5:00pm,Riverbend High School,Thursday,17:00:00,2024-09-12,2024-08-04,2024-11-30,1020.0,,1200.0
Football,2024-09-13,7:00pm,Riverbend High School,Friday,19:00:00,2024-09-13,2024-07-31,2024-12-15,1140.0,,1320.0
Cross Country,2024-09-14,4:30pm,Riverbend High School,Saturday,16:30:00,2024-09-14,2024-08-05,2024-11-16,990.0,,1170.0
Field Hockey,2024-09-17,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-09-17,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-09-17,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-09-17,2024-08-04,2024-11-30,1020.0,,1200.0
Golf,2024-09-18,3:45pm,Riverbend High School,Wednesday,15:45:00,2024-09-18,2024-07-29,2024-10-15,945.0,,1125.0
Football,2024-09-18,6:00pm,Riverbend High School,Wednesday,18:00:00,2024-09-18,2024-07-31,2024-12-15,1080.0,,1260.0
Volleyball,2024-09-19,5:00pm,Riverbend High School,Thursday,17:00:00,2024-09-19,2024-08-04,2024-11-30,1020.0,,1200.0
Field Hockey,2024-09-19,6:00pm,Riverbend High School,Thursday,18:00:00,2024-09-19,2024-08-04,2024-11-10,1080.0,,1260.0
Cross Country,2024-09-20,4:00pm,Riverbend High School,Friday,16:00:00,2024-09-20,2024-08-05,2024-11-16,960.0,,1140.0
Field Hockey,2024-09-23,5:00pm,Riverbend High School,Monday,17:00:00,2024-09-23,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-09-23,5:00pm,Riverbend High School,Monday,17:00:00,2024-09-23,2024-08-04,2024-11-30,1020.0,,1200.0
Football,2024-09-23,6:30pm,Riverbend High School,Monday,18:30:00,2024-09-23,2024-07-31,2024-12-15,1110.0,,1290.0
Field Hockey,2024-09-24,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-09-24,2024-08-04,2024-11-10,1020.0,,1200.0
Volleyball,2024-09-24,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-09-24,2024-08-04,2024-11-30,1020.0,,1200.0
Golf,2024-09-25,TBD,Riverbend High School,Wednesday,,2024-09-25,2024-07-29,2024-10-15,,,
Football,2024-09-27,7:00pm,Riverbend High School,Friday,19:00:00,2024-09-27,2024-07-31,2024-12-15,1140.0,,1320.0
Field Hockey,2024-09-30,5:00pm,Riverbend High School,Monday,17:00:00,2024-09-30,2024-08-04,2024-11-10,1020.0,,1200.0
Football,2024-09-30,5:00pm,Riverbend High School,Monday,17:00:00,2024-09-30,2024-07-31,2024-12-15,1020.0,,1200.0
Volleyball,2024-09-30,5:00pm,Riverbend High School,Monday,17:00:00,2024-09-30,2024-08-04,2024-11-30,1020.0,,1200.0
Volleyball,2024-10-01,5:00pm,Riverbend High School,Tuesday,17:00:00,2024-10-01,2024-08-04,2024-11-30,1020.0,,1200.0
Field Hockey,2024-10-01,6:00pm,Riverbend High School,Tuesday,18:00:00,2024-10-01,2024-08-04,2024-11-10,1080.0,,1260.0
Golf,2024-10-02,TBD,Riverbend High School,Wednesday,,2024-10-02,2024-07-29,2024-10-15,,,
